"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"836","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.125,54.375,"SSP5-8.5","SST",0.007419729,0,0.078237986,0.682703207,0.966495335,0.205094997,0.504152423,0.631646738,0.069483451,0.337220067,0.506096341,0.008233951,0.19209023,0.328970757,0.576847373,0.315337327,0.230258453,0.23285962,0.310132906,0.367346681,"Low","Low","Low","High","Low","High","High","Moderate","Low","High","High","Low","Low","Moderate","Moderate","Moderate"
"837","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-52.875,54.375,"SSP5-8.5","SST",0.007780719,0,0.078237986,0.661970531,0.966495335,0.205094997,0.504152423,0.668024033,0.069483451,0.337220067,0.395019153,0.003306909,0.186997309,0.318598353,0.585941697,0.317958213,0.201257395,0.193716489,0.292290764,0.346379257,"Low","Low","Low","High","Low","High","High","Moderate","Low","High","High","Low","Low","Moderate","Moderate","Moderate"
"838","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-52.625,54.375,"SSP5-8.5","SST",0.008435136,0,0.078237986,0.671723891,0.966495335,0.205094997,0.504152423,0.688656621,0.069483451,0.337220067,0.419920806,0.002240419,0.189599253,0.323323271,0.591099844,0.319895137,0.207216186,0.202591244,0.292056777,0.334556965,"Low","Low","Low","High","Low","High","High","Moderate","Low","High","High","Low","Low","Moderate","Moderate","Moderate"
"839","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-57.125,54.125,"SSP5-8.5","SST",0.018077024,0,0.615301301,0.457603716,0.966495335,0.205094997,0.504152423,0.3457922,0.069483451,0.337220067,0.773731024,0.016937981,0.27274551,0.311321472,0.505383739,0.330791076,0.299343131,0.345960825,0.382054576,0.36281175,"Low","Low","Moderate","Moderate","Low","High","High","High","Low","High","Critical","Low","Moderate","Moderate","High","Moderate"
"840","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-56.875,54.125,"SSP5-8.5","SST",0.015382789,0,0.534981477,0.579431699,0.966495335,0.205094997,0.504152423,0.333691184,0.069483451,0.337220067,0.682852114,0.013032989,0.282448991,0.317843344,0.502358484,0.332786455,0.275647156,0.306091912,0.378936767,0.348364124,"Low","Low","Moderate","High","Low","High","High","High","Low","High","Critical","Low","Moderate","Moderate","Moderate","Moderate"
"841","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-56.625,54.125,"SSP5-8.5","SST",0.013865978,0,0.566166898,0.626974457,0.966495335,0.205094997,0.504152423,0.328631222,0.069483451,0.337220067,0.66025838,0.033245076,0.301751833,0.341378341,0.501093494,0.333649804,0.275051744,0.290389302,0.383493219,0.335518096,"Low","Low","Moderate","High","Low","High","High","High","Low","High","Critical","Low","Moderate","Moderate","Moderate","Moderate"
"842","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-56.375,54.125,"SSP5-8.5","SST",0.019733732,0,0.446097172,0.673842504,0.966495335,0.205094997,0.504152423,0.350913295,0.069483451,0.337220067,0.605820719,0.053475903,0.284918352,0.331029686,0.506664012,0.329976418,0.266500035,0.260981905,0.371950618,0.324515186,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"843","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-56.125,54.125,"SSP5-8.5","SST",0.022380223,0,0.094438926,0.718818034,0.966495335,0.205094997,0.504152423,0.35695697,0.069483451,0.337220067,0.57380426,0.018983038,0.208909296,0.342318845,0.508174931,0.329038038,0.249872704,0.257171496,0.358150425,0.436549587,"Low","Low","Low","Critical","Low","High","High","High","Low","High","High","Low","Low","Moderate","Moderate","Moderate"
"844","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.875,54.125,"SSP5-8.5","SST",0.021133818,0,0.208228248,0.697689608,0.966495335,0.205094997,0.504152423,0.355918179,0.069483451,0.337220067,0.571162136,0.021083436,0.231762918,0.324407269,0.507915233,0.329197544,0.249737273,0.255435053,0.358788591,0.389913651,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"845","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.625,54.125,"SSP5-8.5","SST",0.018295773,0,0.2224442,0.692402559,0.966495335,0.205094997,0.504152423,0.354951997,0.069483451,0.337220067,0.564874303,0.041140689,0.233285633,0.322256996,0.507673688,0.329346566,0.253179628,0.246928574,0.358231641,0.379461207,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"846","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.375,54.125,"SSP5-8.5","SST",0.015287136,0,0.347496738,0.694981729,0.966495335,0.205094997,0.504152423,0.347185123,0.069483451,0.337220067,0.565401791,0.075017908,0.264441401,0.328770571,0.505731969,0.330567727,0.261780805,0.237862311,0.364378137,0.335114301,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"847","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.125,54.125,"SSP5-8.5","SST",0.01340848,0,0.340207256,0.687534174,0.966495335,0.205094997,0.504152423,0.349890132,0.069483451,0.337220067,0.591203829,0.110098509,0.260287477,0.325384757,0.506408222,0.330137755,0.277001464,0.240325979,0.36620148,0.332908736,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"848","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.875,54.125,"SSP5-8.5","SST",0.012120173,0,0.2937577,0.672431025,0.966495335,0.205094997,0.504152423,0.354166309,0.069483451,0.337220067,0.595527857,0.069540345,0.244577225,0.315875447,0.507477266,0.329468222,0.26794293,0.252230686,0.362465093,0.352732715,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"849","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.625,54.125,"SSP5-8.5","SST",0.011053718,0,0.287653111,0.649016324,0.966495335,0.205094997,0.504152423,0.355150022,0.069483451,0.337220067,0.576700084,0.055067841,0.236930788,0.305256118,0.507723194,0.329315971,0.259617861,0.248028925,0.358395373,0.353842905,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"850","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.375,54.125,"SSP5-8.5","SST",0.010100333,0,0.277370817,0.640561682,0.966495335,0.205094997,0.504152423,0.363920982,0.069483451,0.337220067,0.571063893,0.051798632,0.232008208,0.301133758,0.509915934,0.327987956,0.257391511,0.246536564,0.355768979,0.356328871,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"851","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.125,54.125,"SSP5-8.5","SST",0.00926587,0,0.251266776,0.654210607,0.966495335,0.205094997,0.504152423,0.379495677,0.069483451,0.337220067,0.566953372,0.053441386,0.228685813,0.306607003,0.513809608,0.325761964,0.256774569,0.24433905,0.353596216,0.365406327,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"852","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.875,54.125,"SSP5-8.5","SST",0.008448539,0,0.228321627,0.66774626,0.966495335,0.205094997,0.504152423,0.411126487,0.069483451,0.337220067,0.535937327,0.039688108,0.226129106,0.312809697,0.52171731,0.321774267,0.245582239,0.235306003,0.346867275,0.373260773,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"853","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.625,54.125,"SSP5-8.5","SST",0.007730753,0,0.217007311,0.672873482,0.966495335,0.205094997,0.504152423,0.451410444,0.069483451,0.337220067,0.51988137,0.033057749,0.224402886,0.315427772,0.5317883,0.31776462,0.23991066,0.230713588,0.340154612,0.371873594,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"854","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.375,54.125,"SSP5-8.5","SST",0.007258698,0,0.223576867,0.696716728,0.966495335,0.205094997,0.504152423,0.505444995,0.069483451,0.337220067,0.510979185,0.063051796,0.231888073,0.326784939,0.545296937,0.314338723,0.245183625,0.218449491,0.333931301,0.35404449,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"855","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.125,54.125,"SSP5-8.5","SST",0.006951318,0,0.154312439,0.691886494,0.966495335,0.205094997,0.504152423,0.566588771,0.069483451,0.337220067,0.513402474,0.158762613,0.213287563,0.326905304,0.560582881,0.313239537,0.269717151,0.19692945,0.326011482,0.394525441,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Moderate","Low","Moderate","Moderate","Moderate"
"856","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-52.875,54.125,"SSP5-8.5","SST",0.007015274,0,0.078237986,0.666813945,0.966495335,0.205094997,0.504152423,0.633334689,0.069483451,0.337220067,0.380474347,0.023535493,0.188016801,0.32114896,0.577269361,0.315436218,0.20267834,0.182159211,0.29609332,0.369205868,"Low","Low","Low","High","Low","High","High","Moderate","Low","High","Moderate","Low","Low","Moderate","Moderate","Moderate"
"857","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-52.625,54.125,"SSP5-8.5","SST",0.007579465,0,0.078237986,0.671141322,0.966495335,0.205094997,0.504152423,0.673919443,0.069483451,0.337220067,0.39280392,0.00330982,0.189239693,0.32319378,0.587415549,0.318478759,0.200704315,0.192978678,0.291670418,0.343951528,"Low","Low","Low","High","Low","High","High","Moderate","Low","High","Moderate","Low","Low","Moderate","Moderate","Moderate"
"858","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-56.875,53.875,"SSP5-8.5","SST",0.018179255,0,0.996512221,0.482208662,0.966495335,0.205094997,0.504152423,0.349802904,0.069483451,0.337220067,0.75315887,0.012544896,0.374225034,0.471067858,0.506386415,0.330151543,0.293101821,0.337794943,0.410267038,0.384269339,"Low","Low","Critical","Moderate","Low","High","High","High","Low","High","Critical","Low","Moderate","Moderate","High","Moderate"
"859","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-56.625,53.875,"SSP5-8.5","SST",0.016195719,0,0.608352984,0.507223342,0.966495335,0.205094997,0.504152423,0.340230197,0.069483451,0.337220067,0.68244318,0.013884896,0.282943011,0.320106327,0.503993238,0.331695999,0.275757899,0.305667103,0.378437047,0.349060386,"Low","Low","Moderate","Moderate","Low","High","High","High","Low","High","Critical","Low","Moderate","Moderate","Moderate","Moderate"
"860","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-56.375,53.875,"SSP5-8.5","SST",0.019227879,0,0.67031978,0.547978219,0.966495335,0.205094997,0.504152423,0.348366874,0.069483451,0.337220067,0.688999887,0.020551343,0.30938147,0.349814652,0.506027407,0.33037927,0.279063687,0.30669331,0.385780326,0.346394971,"Low","Low","Moderate","Moderate","Low","High","High","High","Low","High","Critical","Low","Moderate","Moderate","Moderate","Moderate"
"861","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-56.125,53.875,"SSP5-8.5","SST",0.020854394,0,0.46872642,0.622759469,0.966495335,0.205094997,0.504152423,0.352934385,0.069483451,0.337220067,0.621486141,0.029465882,0.278085071,0.315512014,0.507169285,0.329659825,0.264413885,0.274469048,0.370657185,0.33157428,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"862","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.875,53.875,"SSP5-8.5","SST",0.019659589,0,0.322086205,0.649608718,0.966495335,0.205094997,0.504152423,0.350234694,0.069483451,0.337220067,0.586291813,0.095075606,0.247838628,0.305734944,0.506494362,0.330083343,0.272017735,0.241763103,0.361919617,0.329775754,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"863","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.625,53.875,"SSP5-8.5","SST",0.018019338,0,0.32845534,0.674662304,0.966495335,0.205094997,0.504152423,0.348447715,0.069483451,0.337220067,0.573356385,0.047082404,0.255284246,0.317645844,0.506047617,0.330366413,0.256785577,0.248826774,0.362667963,0.344629864,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"864","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.375,53.875,"SSP5-8.5","SST",0.015800482,0,0.26924434,0.692984835,0.966495335,0.205094997,0.504152423,0.349246911,0.069483451,0.337220067,0.565401791,0.062241834,0.244507414,0.323437088,0.506247416,0.330239546,0.258586786,0.241267522,0.360557478,0.360068786,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"865","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.125,53.875,"SSP5-8.5","SST",0.013432238,0,0.364948146,0.687340326,0.966495335,0.205094997,0.504152423,0.350295854,0.069483451,0.337220067,0.570348223,0.051890948,0.266430178,0.327548541,0.506509652,0.330073694,0.257235673,0.24620745,0.36480485,0.338528153,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"866","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.875,53.875,"SSP5-8.5","SST",0.011980263,0,0.328351617,0.669311865,0.966495335,0.205094997,0.504152423,0.353860614,0.069483451,0.337220067,0.572810376,0.073796391,0.252410936,0.316802546,0.507400842,0.32951567,0.263327572,0.24134161,0.361519346,0.339403675,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"867","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.625,53.875,"SSP5-8.5","SST",0.011062108,0,0.304221264,0.643012442,0.966495335,0.205094997,0.504152423,0.364071554,0.069483451,0.337220067,0.598450913,0.074078145,0.239573954,0.303619955,0.509953577,0.327965622,0.269808144,0.25231637,0.359889381,0.344961182,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"868","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.375,53.875,"SSP5-8.5","SST",0.010543481,0,0.301235968,0.627000095,0.966495335,0.205094997,0.504152423,0.36916632,0.069483451,0.337220067,0.606379153,0.075700225,0.234694886,0.296454963,0.511227269,0.327219267,0.272195724,0.255349092,0.358755789,0.343963922,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"869","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.125,53.875,"SSP5-8.5","SST",0.010146002,0,0.25898115,0.635625164,0.966495335,0.205094997,0.504152423,0.378037584,0.069483451,0.337220067,0.606379153,0.085441321,0.226188079,0.298076801,0.513445085,0.325963112,0.274630998,0.252885006,0.356959023,0.356062518,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"870","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.875,53.875,"SSP5-8.5","SST",0.009460571,0,0.253599254,0.665523748,0.966495335,0.205094997,0.504152423,0.401421918,0.069483451,0.337220067,0.580006197,0.061796893,0.232145893,0.311853107,0.519291168,0.3229206,0.262126652,0.247608455,0.353202905,0.36313883,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"871","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.625,53.875,"SSP5-8.5","SST",0.00852101,0,0.226728956,0.672486198,0.966495335,0.205094997,0.504152423,0.431390161,0.069483451,0.337220067,0.551348437,0.041239759,0.226934041,0.31502385,0.526783229,0.319604988,0.249822929,0.241236508,0.346111951,0.372104299,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"872","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.375,53.875,"SSP5-8.5","SST",0.007688148,0,0.212885674,0.684374789,0.966495335,0.205094997,0.504152423,0.466468921,0.069483451,0.337220067,0.519787101,0.042453253,0.226237153,0.320944062,0.535552919,0.31658195,0.242235968,0.227898498,0.338795285,0.369605757,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"873","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.125,53.875,"SSP5-8.5","SST",0.007181137,0,0.19996071,0.678934432,0.966495335,0.205094997,0.504152423,0.517014885,0.069483451,0.337220067,0.513977676,0.054669186,0.22151907,0.318697884,0.54818941,0.313902708,0.243837595,0.222021023,0.330660733,0.358250484,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"874","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-52.875,53.875,"SSP5-8.5","SST",0.006702566,0,0.09288287,0.676888071,0.966495335,0.205094997,0.504152423,0.579525306,0.069483451,0.337220067,0.391033477,0.077545303,0.194118376,0.324613532,0.563817015,0.313388965,0.218820575,0.169249326,0.305164974,0.407444001,"Low","Low","Low","High","Low","High","High","Moderate","Low","High","Moderate","Low","Low","Moderate","Moderate","Moderate"
"875","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-52.625,53.875,"SSP5-8.5","SST",0.007081583,0,0.078237986,0.690805418,0.966495335,0.205094997,0.504152423,0.637818965,0.069483451,0.337220067,0.388996121,0.007548088,0.194031246,0.333062035,0.57839043,0.315709745,0.200811932,0.190279226,0.298050593,0.365263602,"Low","Low","Low","High","Low","High","High","Moderate","Low","High","Moderate","Low","Low","Moderate","Moderate","Moderate"
"876","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-52.375,53.875,"SSP5-8.5","SST",0.007840033,0,0.078237986,0.717049879,0.966495335,0.205094997,0.504152423,0.677814456,0.069483451,0.337220067,0.408202145,0.002462999,0.200781974,0.345971855,0.588389303,0.318837161,0.204342166,0.198458643,0.295278644,0.344190162,"Low","Low","Low","Critical","Low","High","High","Moderate","Low","High","High","Low","Low","Moderate","Moderate","Moderate"
"877","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-52.125,53.875,"SSP5-8.5","SST",0.008715164,0,0.078237986,0.718347096,0.966495335,0.205094997,0.504152423,0.69237699,0.069483451,0.337220067,0.43041174,0.002112448,0.201325061,0.346454694,0.592029936,0.320278509,0.209806927,0.206339741,0.29526872,0.335072406,"Low","Low","Low","Critical","Low","High","High","Moderate","Low","High","High","Low","Low","Moderate","Moderate","Moderate"
"878","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.875,53.625,"SSP5-8.5","SST",0.017031922,0,0.994082146,0.516388659,0.966495335,0.205094997,0.504152423,0.345411508,0.069483451,0.337220067,0.646771596,0.028968683,0.381875682,0.47322669,0.505288566,0.330852347,0.270610949,0.285643637,0.403672111,0.360151512,"Low","Low","Critical","Moderate","Low","High","High","High","Low","High","Critical","Low","Moderate","Moderate","Moderate","Moderate"
"879","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.625,53.625,"SSP5-8.5","SST",0.01622078,0,0.378307475,0.636421723,0.966495335,0.205094997,0.504152423,0.342606517,0.069483451,0.337220067,0.589674527,0.091222374,0.257737495,0.306973291,0.504587318,0.331306824,0.271900105,0.244174954,0.364758455,0.317881823,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"880","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.375,53.625,"SSP5-8.5","SST",0.015195774,0,0.275497701,0.685155021,0.966495335,0.205094997,0.504152423,0.342446362,0.069483451,0.337220067,0.589577337,0.085683906,0.243962124,0.320154768,0.504547279,0.331332934,0.270491191,0.24551073,0.363630022,0.354672412,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"881","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-55.125,53.625,"SSP5-8.5","SST",0.013333737,0,0.117638751,0.693159393,0.966495335,0.205094997,0.504152423,0.348056251,0.069483451,0.337220067,0.591452266,0.023209661,0.20603297,0.328982406,0.505949751,0.330428714,0.255341361,0.263377392,0.359518607,0.429713821,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Low","Moderate","Moderate","Moderate"
"882","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.875,53.625,"SSP5-8.5","SST",0.011857926,0,0.237170508,0.678148064,0.966495335,0.205094997,0.504152423,0.356096601,0.069483451,0.337220067,0.602116328,0.044798717,0.231794125,0.316944365,0.507959839,0.329170094,0.263404641,0.261768538,0.361044916,0.378623757,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"883","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.625,53.625,"SSP5-8.5","SST",0.011021142,0,0.302842673,0.649998867,0.966495335,0.205094997,0.504152423,0.371472633,0.069483451,0.337220067,0.609347089,0.049460146,0.240965671,0.306635429,0.511803847,0.326887372,0.266377689,0.263607798,0.360259468,0.354489182,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"884","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.375,53.625,"SSP5-8.5","SST",0.010471428,0,0.300866692,0.630097309,0.966495335,0.205094997,0.504152423,0.377194721,0.069483451,0.337220067,0.620385507,0.064343301,0.235358857,0.297813067,0.513234369,0.326080074,0.272858082,0.264422283,0.359190511,0.348823679,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"885","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-54.125,53.625,"SSP5-8.5","SST",0.010096468,0,0.302794932,0.635132959,0.966495335,0.205094997,0.504152423,0.385262845,0.069483451,0.337220067,0.609221168,0.085117783,0.23700609,0.300273785,0.5152514,0.324981176,0.275260618,0.254209338,0.357997613,0.341863184,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"886","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.875,53.625,"SSP5-8.5","SST",0.009692786,0,0.268205983,0.663780067,0.966495335,0.205094997,0.504152423,0.39411271,0.069483451,0.337220067,0.591720735,0.073448527,0.235419709,0.311417522,0.517463866,0.323829313,0.267968195,0.249563368,0.355786329,0.357136677,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"887","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.625,53.625,"SSP5-8.5","SST",0.009125215,0,0.263767296,0.670999179,0.966495335,0.205094997,0.504152423,0.418534207,0.069483451,0.337220067,0.571000238,0.055025715,0.235972922,0.314729235,0.52356924,0.320945862,0.258182368,0.245616154,0.350918062,0.359231669,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"888","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.375,53.625,"SSP5-8.5","SST",0.008429985,0,0.251882607,0.686604628,0.966495335,0.205094997,0.504152423,0.45152497,0.069483451,0.337220067,0.5379147,0.044612754,0.236729305,0.321858547,0.531816931,0.317754969,0.247307743,0.234693677,0.344096156,0.359424433,"Low","Low","Moderate","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
"889","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-53.125,53.625,"SSP5-8.5","SST",0.007760455,0,0.236414652,0.684945996,0.966495335,0.205094997,0.504152423,0.490188768,0.069483451,0.337220067,0.519787101,0.04720924,0.232280276,0.321084944,0.541482881,0.315075146,0.243424965,0.22651697,0.336514077,0.35365109,"Low","Low","Low","High","Low","High","High","High","Low","High","High","Low","Moderate","Moderate","Moderate","Moderate"
