"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"12","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-67.625,69.125,"SSP5-8.5","SST",0.002770633,0,0.996512221,0.415731416,0.966495335,0.205094997,0.504152423,0.186263201,0.069483451,0.337220067,0.552146477,0.010324998,0.353753568,0.470924816,0.465501489,0.364359845,0.242293748,0.250793819,0.405404737,0.361051989,"Low","Low","Critical","Moderate","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"13","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-67.625,68.875,"SSP5-8.5","SST",0.002804711,0,0.314293593,0.409884941,0.966495335,0.205094997,0.504152423,0.186403477,0.069483451,0.337220067,0.513795069,0.012257869,0.181745811,0.2118709,0.465536558,0.364324015,0.233189114,0.234643205,0.351984381,0.315499806,"Low","Low","Moderate","Moderate","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"14","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-68.125,68.625,"SSP5-8.5","SST",0.002477339,0,0.996512221,0.444722408,0.966495335,0.205094997,0.504152423,0.179908082,0.069483451,0.337220067,0.571665709,0.022725989,0.360927992,0.472491518,0.463912709,0.365993518,0.250273804,0.255157187,0.409229229,0.352165414,"Low","Low","Critical","Moderate","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"15","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-67.875,68.625,"SSP5-8.5","SST",0.002752704,0,0.982129604,0.472234142,0.966495335,0.205094997,0.504152423,0.18781464,0.069483451,0.337220067,0.540665814,0.014971276,0.364279112,0.467901034,0.465889349,0.363964125,0.240585152,0.244652218,0.406308432,0.347438641,"Low","Low","Critical","Moderate","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"16","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-67.625,68.625,"SSP5-8.5","SST",0.003029545,0,0.947916405,0.387665872,0.966495335,0.205094997,0.504152423,0.191278641,0.069483451,0.337220067,0.535135065,0.011558338,0.334652955,0.447537378,0.466755349,0.363085,0.23834923,0.243452278,0.398290555,0.361201783,"Low","Low","Critical","Moderate","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"17","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-59.375,68.625,"SSP5-8.5","SST",0.002284455,0,0.078237986,0.726619094,0.966495335,0.205094997,0.504152423,0.188003151,0.069483451,0.337220067,0.41206303,0.007492546,0.201785384,0.351772817,0.465936476,0.363916126,0.206564774,0.198092049,0.361305978,0.435601456,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"18","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-66.875,68.375,"SSP5-8.5","SST",0.002586413,0,0.37213,0.420010002,0.966495335,0.205094997,0.504152423,0.182863415,0.069483451,0.337220067,0.548427416,0.014380717,0.198681604,0.228763568,0.464651542,0.365231279,0.242377913,0.248016497,0.359694236,0.31516277,"Low","Low","Moderate","Moderate","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"19","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-66.625,68.375,"SSP5-8.5","SST",0.00267864,0,0.467590913,0.451163815,0.966495335,0.205094997,0.504152423,0.183108822,0.069483451,0.337220067,0.527784243,0.026340141,0.230358342,0.26453567,0.464712894,0.36516818,0.240206976,0.235936269,0.36639386,0.304788969,"Low","Low","Moderate","Moderate","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"20","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-59.375,68.375,"SSP5-8.5","SST",0.002320891,0,0.078237986,0.717095337,0.966495335,0.205094997,0.504152423,0.188137721,0.069483451,0.337220067,0.409222486,0.009083295,0.199413553,0.347029888,0.465970119,0.363881872,0.206252325,0.196579744,0.360334271,0.434974404,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"21","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-59.125,68.375,"SSP5-8.5","SST",0.002419564,0,0.102871775,0.72112274,0.966495335,0.205094997,0.504152423,0.190289289,0.069483451,0.337220067,0.417796754,0.02557871,0.20660352,0.34634588,0.466508011,0.363335461,0.212519746,0.194160717,0.360252358,0.423678362,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
